# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637155.588499307632446,40,0,35,5,11
1403637155.638468027114868,45,5,40,5,11
1403637155.688462972640991,45,2,43,1,11
1403637155.738454580307007,45,4,44,0,11
1403637155.788446903228760,45,4,44,1,11
1403637155.838460683822632,45,3,43,1,11
1403637155.888455390930176,47,0,44,2,11
1403637155.938458919525146,45,0,44,1,11
1403637155.988470315933228,45,0,44,1,11
1403637156.038470745086670,39,7,39,0,11
1403637156.088472366333008,40,1,34,5,11
1403637156.138479471206665,37,0,36,0,11
1403637156.188478946685791,33,1,33,0,11
1403637156.238480806350708,31,0,31,0,11
1403637156.288478374481201,29,1,28,0,11
1403637156.338474988937378,28,1,27,0,11
1403637156.388475418090820,29,2,27,2,11
1403637156.438461542129517,32,1,29,3,11
1403637156.488452911376953,31,2,30,1,11
1403637156.538444042205811,29,1,29,0,11
1403637156.588439464569092,27,3,26,0,11
1403637156.638439178466797,25,1,19,4,11
1403637156.688434839248657,26,0,21,4,11
1403637156.738430261611938,24,0,23,0,11
1403637156.788387298583984,25,0,20,3,11
1403637156.838341236114502,23,0,22,0,11
1403637156.888306140899658,22,0,20,2,11
1403637156.938283681869507,22,0,20,1,11
1403637156.988260269165039,26,0,21,4,11
1403637157.038273096084595,28,1,25,3,11
1403637157.088292598724365,28,1,28,0,11
1403637157.138354063034058,29,0,27,2,11
1403637157.188363790512085,32,0,28,4,11
1403637157.238387346267700,34,1,32,2,11
1403637157.288410186767578,35,0,34,1,11
1403637157.338414192199707,39,0,35,4,11
1403637157.388415813446045,44,0,38,5,11
1403637157.438421010971069,49,3,43,5,11
1403637157.488421678543091,49,1,48,1,11
1403637157.538419961929321,49,4,49,0,11
1403637157.588427543640137,47,8,46,0,11
1403637157.638423442840576,49,3,46,2,11
1403637157.688416242599487,47,1,46,1,11
1403637157.738412141799927,49,0,45,3,11
1403637157.788394451141357,46,4,45,0,11
1403637157.838379621505737,44,9,43,1,11
1403637157.888364076614380,47,2,43,3,11
1403637157.938333988189697,49,0,45,3,11
1403637157.988324403762817,47,4,45,0,11
1403637158.038314819335938,44,7,38,3,11
1403637158.088316202163696,44,1,39,3,11
1403637158.138338088989258,46,9,41,5,11
1403637158.188348293304443,50,15,46,4,11
1403637158.238351821899414,50,6,49,0,11
1403637158.288345336914062,50,5,49,0,11
1403637158.338323354721069,45,0,44,0,11
1403637158.388339042663574,50,5,44,5,11
1403637158.438322782516479,49,12,49,0,11
1403637158.488305330276489,46,4,44,1,11
1403637158.538299798965454,46,1,43,0,11
1403637158.588262319564819,47,9,41,4,11
1403637158.638238430023193,46,7,43,2,11
1403637158.688211441040039,46,2,42,3,11
1403637158.738197326660156,47,11,43,4,11
1403637158.788200616836548,44,10,40,3,11
1403637158.838187217712402,45,0,39,4,11
1403637158.888168811798096,48,2,42,5,11
1403637158.938163995742798,45,1,43,0,11
1403637158.988152027130127,46,2,41,2,11
1403637159.038145780563354,47,18,42,4,11
1403637159.088148832321167,48,13,43,3,11
1403637159.138154983520508,48,2,44,1,11
1403637159.188154220581055,47,5,44,1,11
1403637159.238161087036133,48,5,45,2,11
1403637159.288164615631104,46,0,43,1,11
1403637159.338165998458862,47,3,44,2,11
1403637159.388163089752197,48,22,42,3,11
1403637159.438162326812744,50,2,45,2,11
1403637159.488164663314819,45,10,44,0,11
1403637159.538169145584106,47,2,43,2,11
1403637159.588166713714600,47,7,43,3,11
1403637159.638203620910645,48,11,44,3,11
1403637159.688214302062988,49,8,46,2,11
1403637159.738204717636108,47,2,44,1,11
1403637159.788201093673706,49,5,43,3,11
1403637159.838196516036987,46,12,43,1,11
1403637159.888181924819946,48,6,42,4,11
1403637159.938163757324219,44,2,41,1,11
1403637159.988157272338867,46,13,39,6,11
1403637160.038151502609253,47,6,42,2,11
1403637160.088157176971436,45,7,42,3,11
1403637160.138165950775146,49,5,44,5,11
1403637160.188177585601807,50,3,47,1,11
1403637160.238175153732300,47,14,47,0,11
1403637160.288176298141479,49,4,46,3,11
1403637160.338175058364868,47,1,46,1,11
1403637160.388180255889893,46,1,44,2,11
1403637160.438193321228027,49,10,44,4,11
1403637160.488197565078735,45,8,43,1,11
1403637160.538198232650757,41,2,41,0,11
1403637160.588199138641357,44,5,37,7,11
1403637160.638202667236328,46,2,42,3,11
1403637160.688237667083740,46,3,42,3,11
1403637160.738274574279785,48,6,44,4,11
1403637160.788311481475830,49,5,46,2,11
1403637160.838349819183350,49,3,47,1,11
1403637160.888396024703979,49,8,46,1,11
1403637160.938446521759033,49,4,46,1,11
1403637160.988469839096069,45,0,45,0,11
1403637161.038491725921631,46,4,43,3,11
1403637161.088546752929688,47,5,43,4,11
1403637161.138557195663452,47,1,47,0,11
1403637161.188562154769897,50,2,47,3,11
1403637161.238570928573608,50,9,50,0,11
1403637161.288567543029785,50,6,50,0,11
1403637161.338562250137329,50,4,50,0,11
1403637161.388553142547607,48,9,47,0,11
1403637161.438525676727295,48,10,45,2,11
1403637161.488551616668701,47,6,43,2,11
1403637161.538537025451660,47,11,42,3,11
1403637161.588525533676147,46,3,45,1,11
1403637161.638522624969482,47,7,45,2,11
1403637161.688519477844238,47,2,46,1,11
1403637161.738522529602051,42,9,38,2,11
1403637161.788518667221069,47,8,35,8,11
1403637161.838514566421509,46,5,40,3,11
1403637161.888500928878784,42,7,39,1,11
1403637161.938485860824585,46,1,38,6,11
1403637161.988484621047974,48,5,43,4,11
1403637162.038476467132568,47,12,40,2,11
1403637162.088487625122070,42,1,38,2,11
1403637162.138509035110474,45,2,34,7,11
1403637162.188529968261719,47,1,41,3,11
1403637162.238577365875244,46,5,44,2,11
1403637162.288589954376221,50,1,46,4,11
1403637162.338602304458618,50,3,50,0,11
1403637162.388623952865601,50,7,50,0,11
1403637162.438629150390625,49,4,48,0,11
1403637162.488678455352783,49,14,47,1,11
1403637162.538691282272339,49,5,48,1,11
1403637162.588706254959106,50,7,49,1,11
1403637162.638726234436035,49,9,48,0,11
1403637162.688730955123901,49,10,46,0,11
1403637162.738763570785522,48,8,45,1,11
1403637162.788764238357544,48,5,45,2,11
1403637162.838764190673828,49,10,43,2,11
1403637162.888764381408691,46,1,40,1,11
1403637162.938769102096558,43,4,41,0,11
1403637162.988780736923218,46,4,38,7,11
1403637163.038779973983765,49,3,43,4,11
1403637163.088774442672729,48,14,46,1,11
1403637163.138772726058960,48,5,45,2,11
1403637163.188770055770874,48,4,44,2,11
1403637163.238759040832520,47,12,44,2,11
1403637163.288759708404541,49,8,45,3,11
1403637163.338748693466187,49,12,47,1,11
1403637163.388742685317993,46,9,44,1,11
1403637163.438734292984009,49,3,44,4,11
1403637163.488736391067505,44,5,41,1,11
1403637163.538739681243896,49,4,39,6,11
1403637163.588743209838867,47,5,41,1,11
1403637163.638751029968262,47,0,40,3,11
1403637163.688771963119507,45,13,40,3,11
1403637163.738778352737427,48,5,41,4,11
1403637163.788789510726929,46,3,42,2,11
1403637163.838809251785278,47,5,42,4,11
1403637163.888817787170410,50,5,46,3,11
1403637163.938830137252808,48,8,48,0,11
1403637163.988832950592041,49,9,47,2,11
1403637164.038836956024170,50,11,48,1,11
1403637164.088844776153564,48,8,46,0,11
1403637164.138837814331055,46,9,42,2,11
1403637164.188837766647339,47,7,41,4,11
1403637164.238829374313354,46,0,42,2,11
1403637164.288831233978271,48,14,44,4,11
1403637164.338826417922974,47,8,43,0,11
1403637164.388819932937622,48,3,41,1,11
1403637164.438814401626587,45,9,41,2,11
1403637164.488810777664185,45,4,41,4,11
1403637164.538812398910522,49,9,44,4,11
1403637164.588800191879272,50,4,46,1,11
1403637164.638799905776978,48,9,45,0,11
1403637164.688795328140259,48,13,45,2,11
1403637164.738792896270752,47,6,44,2,11
1403637164.788796663284302,46,7,42,3,11
1403637164.838796377182007,46,2,42,3,11
1403637164.888791084289551,44,10,40,3,11
1403637164.938798427581787,48,9,39,6,11
1403637164.988797187805176,44,10,39,2,11
1403637165.038797378540039,44,2,38,3,11
1403637165.088798761367798,41,3,38,1,11
1403637165.138798236846924,41,5,36,2,11
1403637165.188795328140259,36,4,32,1,11
1403637165.238794326782227,43,1,29,11,11
1403637165.288784742355347,45,5,37,6,11
1403637165.338774919509888,42,4,36,3,11
1403637165.388771533966064,40,12,31,6,11
1403637165.438769102096558,36,5,32,1,11
1403637165.488768100738525,37,5,31,3,11
1403637165.538761138916016,37,0,31,2,11
1403637165.588752746582031,37,4,30,5,11
1403637165.638748645782471,34,5,31,1,11
1403637165.688741683959961,38,5,29,4,11
1403637165.738735437393188,43,4,28,8,11
1403637165.788730144500732,36,3,32,0,11
1403637165.838724851608276,36,1,30,5,11
1403637165.888718605041504,43,1,34,7,11
1403637165.938722610473633,47,3,40,6,11
1403637165.988722562789917,47,7,44,2,11
1403637166.038721799850464,48,8,43,3,11
1403637166.088719606399536,47,14,42,2,11
1403637166.138720035552979,48,3,44,2,11
1403637166.188718557357788,45,4,42,2,11
1403637166.238716125488281,46,5,43,1,11
1403637166.288708686828613,45,6,40,3,11
1403637166.338695764541626,46,9,39,2,11
1403637166.388670682907104,45,16,38,4,11
1403637166.438660621643066,40,8,35,3,11
1403637166.488659143447876,39,2,36,0,11
1403637166.538653850555420,45,0,37,8,11
1403637166.588628053665161,50,0,43,5,11
1403637166.638573408126831,50,12,45,0,11
1403637166.688519239425659,43,10,39,0,11
1403637166.738486766815186,43,0,35,5,11
1403637166.788467168807983,44,0,38,5,11
1403637166.838466882705688,48,0,43,5,11
1403637166.888470888137817,48,1,46,1,11
1403637166.938490629196167,49,1,46,2,11
1403637166.988523721694946,48,10,48,0,11
1403637167.038536310195923,48,6,48,0,11
1403637167.088540792465210,49,1,48,1,11
1403637167.138548135757446,49,1,49,0,11
1403637167.188554525375366,49,0,49,0,11
1403637167.238550424575806,49,2,49,0,11
1403637167.288549661636353,50,6,48,1,11
1403637167.338553428649902,50,8,48,0,11
1403637167.388550996780396,49,7,48,0,11
1403637167.438547849655151,49,1,48,1,11
1403637167.488548994064331,48,2,48,0,11
1403637167.538550615310669,50,3,46,2,11
1403637167.588542699813843,49,12,44,0,11
1403637167.638539552688599,47,11,43,1,11
1403637167.688530445098877,46,2,42,3,11
1403637167.738525629043579,46,1,45,0,11
1403637167.788524627685547,45,7,44,0,11
1403637167.838517427444458,50,12,43,5,11
1403637167.888513565063477,47,12,44,0,11
1403637167.938501834869385,48,11,42,3,11
1403637167.988503694534302,48,3,42,2,11
1403637168.038499116897583,48,3,44,1,11
1403637168.088498830795288,46,2,42,2,11
1403637168.138500213623047,46,4,43,2,11
1403637168.188502550125122,48,15,42,4,11
1403637168.238496780395508,44,13,41,0,11
1403637168.288493156433105,45,3,40,3,11
1403637168.338491201400757,41,2,41,0,11
1403637168.388486623764038,39,15,35,1,11
1403637168.438486337661743,40,8,36,2,11
1403637168.488488197326660,47,4,35,10,11
1403637168.538489103317261,46,16,40,3,11
1403637168.588490962982178,44,3,41,2,11
1403637168.638493299484253,45,1,41,4,11
1403637168.688492298126221,48,2,42,5,11
1403637168.738494873046875,48,4,47,0,11
1403637168.788495540618896,48,9,46,1,11
1403637168.838493585586548,47,9,44,2,11
1403637168.888495206832886,47,0,40,1,11
1403637168.938497066497803,45,3,40,0,11
1403637168.988495588302612,42,10,36,5,11
1403637169.038496494293213,43,1,42,1,11
1403637169.088501214981079,48,2,42,5,11
1403637169.138497352600098,47,14,44,1,11
1403637169.188494682312012,46,5,40,2,11
1403637169.238494396209717,46,4,38,4,11
1403637169.288488864898682,45,8,40,3,11
1403637169.338485717773438,48,9,41,5,11
1403637169.388480663299561,47,11,42,1,11
1403637169.438478469848633,45,1,40,1,11
1403637169.488478422164917,43,2,38,0,11
1403637169.538478374481201,39,5,31,1,11
1403637169.588486194610596,42,3,25,10,11
1403637169.638487577438354,43,9,33,7,11
1403637169.688497781753540,40,5,34,0,11
1403637169.738508939743042,47,7,31,10,11
1403637169.788512706756592,42,3,30,3,11
1403637169.838514089584351,39,5,30,3,11
1403637169.888512134552002,32,5,29,1,11
1403637169.938506126403809,43,6,27,15,11
1403637169.988504886627197,43,2,39,2,11
1403637170.038504362106323,42,2,40,1,11
1403637170.088505983352661,46,2,39,5,11
1403637170.138507127761841,44,16,38,4,11
1403637170.188507795333862,44,9,40,4,11
1403637170.238507509231567,48,1,39,5,11
1403637170.288507699966431,46,6,37,2,11
1403637170.338508844375610,44,10,36,2,11
1403637170.388511180877686,43,6,35,4,11
1403637170.438512563705444,45,10,35,7,11
1403637170.488515377044678,44,8,36,5,11
1403637170.538516283035278,42,7,36,1,11
1403637170.588515281677246,37,9,29,5,11
1403637170.638512849807739,35,6,27,1,11
1403637170.688511848449707,37,8,26,4,11
1403637170.738509178161621,34,4,27,4,11
1403637170.788508653640747,31,12,24,4,11
1403637170.838504076004028,33,1,26,5,11
1403637170.888503074645996,33,5,31,2,11
1403637170.938502788543701,32,7,26,2,11
1403637170.988498926162720,37,3,28,5,11
1403637171.038500785827637,37,7,31,4,11
1403637171.088495016098022,47,10,33,12,11
1403637171.138488292694092,46,7,41,3,11
1403637171.188491821289062,48,3,41,4,11
1403637171.238497972488403,45,6,39,2,11
1403637171.288504123687744,46,7,41,4,11
1403637171.338509321212769,49,7,43,4,11
1403637171.388514757156372,47,19,45,1,11
1403637171.438511848449707,48,1,46,2,11
1403637171.488512277603149,46,2,45,0,11
1403637171.538513898849487,49,3,45,3,11
1403637171.588513851165771,47,9,46,0,11
1403637171.638509511947632,50,4,46,3,11
1403637171.688508272171021,48,10,48,0,11
1403637171.738505840301514,50,4,47,2,11
1403637171.788502216339111,47,8,46,0,11
1403637171.838505029678345,48,5,45,3,11
1403637171.888506650924683,47,14,45,2,11
1403637171.938507795333862,49,2,45,3,11
1403637171.988510370254517,50,14,47,1,11
1403637172.038511037826538,47,5,46,0,11
1403637172.088512182235718,47,4,45,2,11
1403637172.138510227203369,49,7,45,3,11
1403637172.188494920730591,49,5,49,0,11
1403637172.238473892211914,50,17,49,1,11
1403637172.288466215133667,49,5,49,0,11
1403637172.338471174240112,48,5,47,1,11
1403637172.388473033905029,44,10,41,2,11
1403637172.438476800918579,47,1,41,4,11
1403637172.488486051559448,48,6,45,2,11
1403637172.538494110107422,46,7,45,0,11
1403637172.588507652282715,50,12,43,4,11
1403637172.638515233993530,49,5,47,0,11
1403637172.688521862030029,45,2,45,0,11
1403637172.738526821136475,50,5,45,5,11
1403637172.788521766662598,42,15,42,0,11
1403637172.838506460189819,46,5,40,6,11
1403637172.888482809066772,46,8,44,2,11
1403637172.938471317291260,48,11,44,4,11
1403637172.988466739654541,48,7,47,1,11
1403637173.038466453552246,44,11,42,2,11
1403637173.088464021682739,46,3,44,2,11
1403637173.138465881347656,47,10,43,4,11
1403637173.188455581665039,49,7,46,3,11
1403637173.238442659378052,49,6,48,1,11
1403637173.288416385650635,49,9,47,1,11
1403637173.338399171829224,50,9,44,1,11
1403637173.388380765914917,47,16,40,0,11
1403637173.438374042510986,46,10,37,3,11
1403637173.488375425338745,43,4,34,4,11
1403637173.538380384445190,47,9,37,7,11
1403637173.588393449783325,47,5,41,3,11
1403637173.638408899307251,49,7,43,3,11
1403637173.688421487808228,46,1,42,1,11
1403637173.738430500030518,46,1,43,1,11
1403637173.788438558578491,46,1,44,2,11
1403637173.838446617126465,48,0,42,3,11
1403637173.888450145721436,49,15,43,2,11
1403637173.938453197479248,47,2,45,1,11
1403637173.988450050354004,49,4,46,3,11
1403637174.038444280624390,47,14,45,1,11
1403637174.088431835174561,46,10,42,0,11
1403637174.138421773910522,49,5,42,4,11
1403637174.188417673110962,46,17,45,1,11
1403637174.238412857055664,49,9,44,4,11
1403637174.288417816162109,47,5,45,1,11
1403637174.338423013687134,46,2,46,0,11
1403637174.388435840606689,49,4,44,3,11
1403637174.438436985015869,48,10,46,0,11
1403637174.488433599472046,47,23,45,2,11
1403637174.538423299789429,50,6,47,3,11
1403637174.588419198989868,50,3,48,0,11
1403637174.638410329818726,48,16,46,0,11
1403637174.688403129577637,48,15,42,2,11
1403637174.738400936126709,45,3,42,2,11
1403637174.788401126861572,40,28,34,5,11
1403637174.838397264480591,38,6,35,0,11
1403637174.888396978378296,44,4,34,7,11
1403637174.938393354415894,47,4,41,4,11
1403637174.988391876220703,43,4,41,0,11
1403637175.038391828536987,50,5,39,7,11
1403637175.088390827178955,46,21,44,0,11
1403637175.138395071029663,43,9,43,0,11
1403637175.188398599624634,47,7,38,7,11
1403637175.238403081893921,49,6,43,3,11
1403637175.288399696350098,43,26,40,1,11
1403637175.338396549224854,48,2,41,6,11
1403637175.388399362564087,49,19,47,2,11
1403637175.438397407531738,47,2,45,1,11
1403637175.488395690917969,45,0,44,1,11
1403637175.538394451141357,46,2,44,2,11
1403637175.588395118713379,45,0,44,0,11
1403637175.638394594192505,48,2,42,3,11
1403637175.688393354415894,48,16,43,2,11
1403637175.738395929336548,46,6,43,1,11
1403637175.788390159606934,48,6,42,4,11
1403637175.838387727737427,49,12,46,2,11
1403637175.888385772705078,48,25,47,1,11
1403637175.938384771347046,48,8,46,2,11
1403637175.988382816314697,50,16,44,2,11
1403637176.038384675979614,50,7,46,0,11
1403637176.088381528854370,44,2,44,0,11
1403637176.138376951217651,48,5,44,4,11
1403637176.188375949859619,49,5,46,2,11
1403637176.238374233245850,50,5,48,1,11
1403637176.288376569747925,48,15,47,0,11
1403637176.338375329971313,49,6,46,2,11
1403637176.388380289077759,48,5,45,1,11
1403637176.438382148742676,49,8,44,2,11
1403637176.488389492034912,47,23,44,1,11
1403637176.538390398025513,47,8,43,3,11
1403637176.588389396667480,49,11,44,3,11
1403637176.638394594192505,42,15,40,1,11
1403637176.688394546508789,45,2,39,4,11
1403637176.738394498825073,48,6,42,5,11
1403637176.788394451141357,49,0,46,2,11
1403637176.838394165039062,49,4,46,1,11
1403637176.888394117355347,48,14,46,1,11
1403637176.938394546508789,47,0,44,2,11
1403637176.988395452499390,47,20,43,3,11
1403637177.038395881652832,47,8,44,3,11
1403637177.088395357131958,49,15,46,3,11
1403637177.138394355773926,50,14,49,1,11
1403637177.188394546508789,48,14,48,0,11
1403637177.238397121429443,49,10,45,2,11
1403637177.288398504257202,48,0,45,0,11
1403637177.338404178619385,47,11,44,2,11
1403637177.388406515121460,47,5,45,1,11
1403637177.438412666320801,49,14,45,3,11
1403637177.488415956497192,48,13,47,1,11
1403637177.538421392440796,49,6,48,1,11
1403637177.588422298431396,49,22,47,1,11
1403637177.638423681259155,48,4,44,1,11
1403637177.688430547714233,49,17,45,2,11
1403637177.738436222076416,48,9,45,1,11
1403637177.788441896438599,47,18,43,2,11
1403637177.838443040847778,48,9,45,3,11
1403637177.888443708419800,48,4,47,0,11
1403637177.938441991806030,49,10,46,2,11
1403637177.988438129425049,48,4,46,1,11
1403637178.038431167602539,50,13,45,2,11
1403637178.088426589965820,43,13,39,0,11
1403637178.138424873352051,42,15,36,6,11
1403637178.188421726226807,48,8,40,8,11
1403637178.238425016403198,45,7,43,1,11
1403637178.288428068161011,47,10,43,3,11
1403637178.338431358337402,48,3,44,3,11
1403637178.388437032699585,47,4,45,1,11
1403637178.438442945480347,46,12,43,3,11
1403637178.488443374633789,46,3,45,0,11
1403637178.538443565368652,49,3,44,4,11
1403637178.588444471359253,48,6,47,0,11
1403637178.638457298278809,49,7,47,2,11
1403637178.688469409942627,50,15,49,1,11
1403637178.738477706909180,49,9,49,0,11
1403637178.788484811782837,49,8,48,1,11
1403637178.838488817214966,50,5,48,1,11
1403637178.888490915298462,49,5,48,0,11
1403637178.938492536544800,49,5,48,1,11
1403637178.988493204116821,49,3,49,0,11
1403637179.038494586944580,48,4,48,0,11
1403637179.088495969772339,47,2,47,0,11
1403637179.138497114181519,49,1,47,2,11
1403637179.188501358032227,49,1,48,0,11
1403637179.238501548767090,50,6,48,1,11
1403637179.288503885269165,48,13,47,0,11
1403637179.338503599166870,50,6,47,2,11
1403637179.388504505157471,49,10,49,0,11
1403637179.438503503799438,50,0,48,1,11
1403637179.488501071929932,50,10,48,0,11
1403637179.538497924804688,48,13,47,0,11
1403637179.588497161865234,48,5,45,1,11
1403637179.638495922088623,50,8,46,2,11
1403637179.688495397567749,48,3,48,0,11
1403637179.738493680953979,46,4,46,0,11
1403637179.788491964340210,45,1,44,0,11
1403637179.838488101959229,47,9,43,2,11
1403637179.888482570648193,49,15,44,3,11
1403637179.938481807708740,48,2,45,1,11
1403637179.988481283187866,49,6,44,2,11
1403637180.038480758666992,45,0,39,1,11
1403637180.088479042053223,49,6,40,5,11
1403637180.138480901718140,46,12,44,1,11
1403637180.188477754592896,45,5,39,3,11
1403637180.238478183746338,48,6,41,5,11
1403637180.288486480712891,43,6,41,1,11
1403637180.338489055633545,39,1,38,0,11
1403637180.388491630554199,46,3,36,8,11
1403637180.438488721847534,48,5,44,3,11
1403637180.488488912582397,41,12,38,2,11
1403637180.538489818572998,40,7,39,1,11
1403637180.588492393493652,41,3,38,2,11
1403637180.638490200042725,50,1,40,9,11
1403637180.688486099243164,49,5,49,0,11
1403637180.738482475280762,50,11,48,1,11
1403637180.788479566574097,49,7,47,0,11
1403637180.838475942611694,48,12,43,1,11
1403637180.888480186462402,48,12,44,2,11
1403637180.938482046127319,48,7,44,2,11
1403637180.988486051559448,50,6,43,2,11
1403637181.038494110107422,46,2,44,0,11
1403637181.088507413864136,47,16,44,3,11
1403637181.138507127761841,48,6,44,3,11
1403637181.188508987426758,48,9,46,2,11
1403637181.238505840301514,49,5,45,2,11
1403637181.288505077362061,50,13,47,1,11
1403637181.338500499725342,48,9,45,0,11
1403637181.388500690460205,48,9,44,2,11
1403637181.438503503799438,46,14,41,2,11
1403637181.488508224487305,47,9,40,3,11
1403637181.538513660430908,45,1,40,2,11
1403637181.588513851165771,48,2,42,5,11
1403637181.638517618179321,49,7,46,2,11
1403637181.688519239425659,50,7,48,1,11
1403637181.738520860671997,46,7,44,0,11
1403637181.788516759872437,50,17,42,4,11
1403637181.838514089584351,46,10,43,0,11
1403637181.888513326644897,44,11,38,4,11
1403637181.938513040542603,48,6,39,4,11
1403637181.988512516021729,49,2,41,2,11
1403637182.038509130477905,40,8,37,1,11
1403637182.088504552841187,48,10,38,8,11
1403637182.138504981994629,47,4,44,1,11
1403637182.188505411148071,49,7,42,3,11
1403637182.238506793975830,44,6,42,1,11
1403637182.288506984710693,45,0,42,2,11
1403637182.338506221771240,47,10,43,3,11
1403637182.388505697250366,50,8,44,3,11
1403637182.438503265380859,46,10,42,0,11
1403637182.488501548767090,47,18,37,3,11
1403637182.538500785827637,45,3,39,2,11
1403637182.588498353958130,43,7,38,4,11
1403637182.638495206832886,49,7,41,7,11
1403637182.688490390777588,49,8,45,1,11
1403637182.738486051559448,49,15,46,1,11
1403637182.788483858108521,48,11,47,1,11
1403637182.838484048843384,48,10,46,2,11
1403637182.888484477996826,48,3,47,0,11
1403637182.938484668731689,49,15,46,1,11
1403637182.988485097885132,48,4,46,1,11
